subject	item	response	rt	category	condition	truthVal	Check	PrsntOrd	check_mm
100	16	V	14.96	Critical2 DN	dn	V	T	1	dn
100	6	V	8.404	Critical1 NC	nc	V	T	4	nc
100	7	F	9.105	Critical1 NC	nc	F	T	7	nc
100	9	V	6.81	Critical2 DN	dn	V	T	9	dn
100	13	V	9.457	Critical2 DN	dn	V	T	12	dn
100	8	F	35.24	Critical1 NC	nc	F	T	15	nc
100	10	F	6.842	Critical2 DN	dn	F	T	17	dn
100	4	V	22.08	Critical1 NC	nc	V	T	20	nc
100	5	F	5.017	Critical1 NC	nc	F	T	21	nc
100	11	V	20.25	Critical2 DN	dn	V	T	23	dn
100	14	F	9.01	Critical2 DN	dn	F	T	28	dn
100	3	V	6.682	Critical1 NC	nc	V	T	30	nc
100	2	V	7.322	Critical1 NC	nc	V	T	34	nc
100	12	F	7.457	Critical2 DN	dn	F	T	35	dn
100	15	F	4.483	Critical2 DN	dn	F	T	37	dn
100	1	V	14.71	Critical1 NC	nc	F	F	39	nc_mm
100	17	V	4.291	Critical3 NegOb	negob	V	T	33	0
100	18	V	6.194	Critical3 NegOb	negob	V	T	8	0
100	19	F	4.156	Critical3 NegOb	negob	F	T	36	0
100	20	F	4.139	Critical3 NegOb	negob	F	T	19	0
100	21	F	3.723	Critical3 NegOb	negob	F	T	27	0
100	22	V	5.931	Critical3 NegOb	negob	V	T	3	0
100	23	V	23.38	Critical3 NegOb	negob	V	T	24	0
100	24	F	7.779	Critical3 NegOb	negob	F	T	11	0
100	25	V	10.96	Critical4 NegSub	negsub	V	T	32	0
100	26	F	8.716	Critical4 NegSub	negsub	F	T	10	0
100	27	V	4.924	Critical4 NegSub	negsub	V	T	2	0
100	28	V	7.73	Critical4 NegSub	negsub	V	T	40	0
100	29	V	10.01	Critical4 NegSub	negsub	V	T	14	0
100	30	F	22.75	Critical4 NegSub	negsub	F	T	16	0
100	31	F	6.01	Critical4 NegSub	negsub	F	T	22	0
100	32	F	3.81	Critical4 NegSub	negsub	F	T	26	0
100	33	F	3.995	Control	filler	F	T	5	0
100	34	V	4.571	Control	filler	V	T	31	0
100	35	F	2.091	Control	filler	F	T	38	0
100	36	F	3.06	Control	filler	F	T	29	0
100	37	V	4.291	Control	filler	V	T	13	0
100	38	F	3.907	Control	filler	F	T	18	0
100	39	V	5.858	Control	filler	V	T	25	0
100	40	V	5.362	Control	filler	V	T	6	0
101	12	F	8.714	Critical2 DN	dn	F	T	3	dn
101	6	V	4.322	Critical1 NC	nc	V	T	5	nc
101	13	F	12.59	Critical2 DN	dn	V	F	6	dn_mm
101	7	F	5.162	Critical1 NC	nc	F	T	9	nc
101	3	V	5.483	Critical1 NC	nc	V	T	12	nc
101	9	V	9.715	Critical2 DN	dn	V	T	14	dn
101	1	F	6.138	Critical1 NC	nc	F	T	16	nc
101	15	V	5.417	Critical2 DN	dn	F	F	18	dn_mm
101	10	F	5.234	Critical2 DN	dn	F	T	22	dn
101	8	F	6.075	Critical1 NC	nc	F	T	24	nc
101	4	V	5.034	Critical1 NC	nc	V	T	26	nc
101	14	F	5.154	Critical2 DN	dn	F	T	27	dn
101	11	V	6.49	Critical2 DN	dn	V	T	33	dn
101	5	F	5.954	Critical1 NC	nc	F	T	34	nc
101	2	V	5.082	Critical1 NC	nc	V	T	36	nc
101	16	V	6.322	Critical2 DN	dn	V	T	40	dn
101	17	V	6.578	Critical3 NegOb	negob	V	T	30	0
101	18	V	3.714	Critical3 NegOb	negob	V	T	23	0
101	19	F	5.467	Critical3 NegOb	negob	F	T	4	0
101	20	F	4.738	Critical3 NegOb	negob	F	T	10	0
101	21	F	5.243	Critical3 NegOb	negob	F	T	15	0
