subject	%DN	%Faux	rank
Sujet_p71	0.09375	0.015625	1
Sujet4	0.09375	0.0625	2
Sujet_p78	0.21875	0.015625	3
Sujet_p711	0.21875	0.046875	4
Sujet_p81	0.28125	0.015625	5
Sujet_p76	0.21875	0.0625	6
Sujet2	0.28125	0.03125	7
Sujet8	0.34375	0.046875	8
Sujet_p710	0.4375	0	9
Sujet10	0.5	0	10
Sujet7	0.4375	0.03125	11
Sujet_p712	0.5	0.015625	12
Sujet83	0.53125	0.015625	13
Sujet5	0.5625	0.046875	14
Sujet_p75	0.65625	0.015625	15
Sujet78	0.65625	0.03125	16
Sujet_p73	0.71875	0	17
Sujet710	0.53125	0.109375	18
Sujet6	0.71875	0.015625	19
Sujet63	0.75	0.015625	20
Sujet1_2	0.75	0.03125	21
Sujet9	0.8125	0	22
Sujet_p72	0.71875	0.046875	23
Sujet11	0.6875	0.078125	24
Sujet64	0.84375	0.015625	25
Sujet71	0.75	0.0625	26
Sujet_p79	0.875	0.046875	27
Sujet82	0.96875	0.015625	28
Sujet3	1	0.015625	29
Sujet_p77	0.9375	0.046875	30
