"series","pvalue","test_type"
"1",0,0.580189901483078,Negative Concord X Double Negative
"2",1,0.501464844924282,Negative Concord X Double Negative
"3",2,0.438234600164039,Negative Concord X Double Negative
"4",3,0.440691354009434,Negative Concord X Double Negative
"5",4,0.477794383302553,Negative Concord X Double Negative
"6",5,0.505391477375562,Negative Concord X Double Negative
"7",6,0.53340981489533,Negative Concord X Double Negative
"8",7,0.628301651178505,Negative Concord X Double Negative
"9",8,0.736030588190963,Negative Concord X Double Negative
"10",9,0.783775748618527,Negative Concord X Double Negative
"11",10,0.784673313917908,Negative Concord X Double Negative
"12",11,0.824999677430106,Negative Concord X Double Negative
"13",12,0.978791855960055,Negative Concord X Double Negative
"14",13,0.890750719036003,Negative Concord X Double Negative
"15",14,0.81924922656445,Negative Concord X Double Negative
"16",15,0.495360962453447,Negative Concord X Double Negative
"17",16,0.116561725626263,Negative Concord X Double Negative
"18",17,0.0149415610386393,Negative Concord X Double Negative
"19",18,0.00391873924975401,Negative Concord X Double Negative
"20",19,0.00694217931172339,Negative Concord X Double Negative
"21",20,0.236020991701212,Negative Concord X Double Negative
"22",21,0.406170613296032,Negative Concord X Double Negative
"23",22,0.618679907913596,Negative Concord X Double Negative
"24",23,0.895795639263828,Negative Concord X Double Negative
"25",24,0.7925520555726,Negative Concord X Double Negative
"26",25,0.536807568119607,Negative Concord X Double Negative
"27",26,0.360283967046877,Negative Concord X Double Negative
"28",27,0.252516163157694,Negative Concord X Double Negative
"29",28,0.190627679515549,Negative Concord X Double Negative
"30",29,0.166593023929394,Negative Concord X Double Negative
"31",30,0.998805450596462,Negative Concord X Double Negative
"32",31,0.858030112202929,Negative Concord X Double Negative
"33",32,0.630494020846169,Negative Concord X Double Negative
"34",33,0.483177734568632,Negative Concord X Double Negative
"35",34,0.433240281384097,Negative Concord X Double Negative
"36",35,0.47626398293966,Negative Concord X Double Negative
"37",36,0.882487906121706,Negative Concord X Double Negative
"38",37,0.55621559939303,Negative Concord X Double Negative
"39",38,0.516991180499766,Negative Concord X Double Negative
"40",39,0.889381176900405,Negative Concord X Double Negative
"41",40,0.684314063631003,Negative Concord X Double Negative
"42",41,0.725628496390973,Negative Concord X Double Negative
"43",42,0.633778041825688,Negative Concord X Double Negative
"44",43,0.425201804986981,Negative Concord X Double Negative
"45",44,0.318180466820536,Negative Concord X Double Negative
"46",45,0.217958612693365,Negative Concord X Double Negative
"47",46,0.107841067957927,Negative Concord X Double Negative
"48",47,0.028347510420836,Negative Concord X Double Negative
"49",48,0.010318425369616,Negative Concord X Double Negative
"50",49,0.00637373279366402,Negative Concord X Double Negative
"51",50,0.00708221266645855,Negative Concord X Double Negative
"52",51,0.0129980394238279,Negative Concord X Double Negative
"53",52,0.0295977157733692,Negative Concord X Double Negative
"54",53,0.112921740613985,Negative Concord X Double Negative
"55",54,0.402218619583191,Negative Concord X Double Negative
"56",55,0.807692943725154,Negative Concord X Double Negative
"57",56,0.738878230302757,Negative Concord X Double Negative
"58",57,0.366773728076478,Negative Concord X Double Negative
"59",58,0.182540178449466,Negative Concord X Double Negative
"60",59,0.135389762495356,Negative Concord X Double Negative
"61",0,9.95704397627139e-16,Negative Concord X Negative Object Control
"62",1,1.19572704546898e-16,Negative Concord X Negative Object Control
"63",2,5.03682960888275e-17,Negative Concord X Negative Object Control
"64",3,4.59994043379108e-16,Negative Concord X Negative Object Control
"65",4,1.27356535099018e-14,Negative Concord X Negative Object Control
"66",5,2.36206913788243e-14,Negative Concord X Negative Object Control
"67",6,2.20419564671774e-15,Negative Concord X Negative Object Control
"68",7,2.96761063334885e-15,Negative Concord X Negative Object Control
"69",8,4.32420778620761e-14,Negative Concord X Negative Object Control
"70",9,2.42378753078563e-13,Negative Concord X Negative Object Control
"71",10,4.15314605286166e-13,Negative Concord X Negative Object Control
"72",11,9.32226684518099e-14,Negative Concord X Negative Object Control
"73",12,1.82459515225835e-14,Negative Concord X Negative Object Control
"74",13,1.13822449207184e-14,Negative Concord X Negative Object Control
"75",14,8.53645782982208e-13,Negative Concord X Negative Object Control
